Frame No.,UTC Timestamp,Lat,Long,estimated_time,time,gps_lat,gps_lon,gps_lat_rel,gps_lon_rel,x,y,width,height,x_cent,y_cent,dlat,dlon,d2lat,d2lon,d3lat,d3lon,d4lat,d4lon
2154,19:45:45,32.70297,-117.234631,19:45:49.36,95.44264069264239,32.702876833,-117.233800833,-0.00010006700000531055,0.0008301669999895012,1013.5,442.0,27.257,16.743,1027.0,459.0,-3.991863267398459e-06,-1.2950734198483114e-05,-5.963847640842155e-08,-8.814258589426402e-07,9.695374006642753e-08,2.1385271807243411e-07,4.93130613540886e-07,8.180845572072164e-07
2196,19:45:50,32.70297,-117.234631,19:45:51.46,97.48809523809712,32.702870667,-117.233826667,-0.0001062330000038969,0.0008043329999907201,1025.6,442.69,31.154,17.231,1041.0,460.0,-4.247398798434222e-06,-1.507727087061258e-05,7.777659626172078e-08,-5.018665486165688e-07,1.2054046542707932e-07,2.8015040891303786e-07,-2.887166394754816e-10,4.791683652927766e-09
2268,19:45:50,32.70297,-117.234631,19:45:54.46,100.48809523809746,32.7028525,-117.233882667,-0.00012440000000424334,0.0007483329999899979,1042.2,444.2,40.217,17.734,1062.0,462.0,-3.122166666002683e-06,-1.4216666666772514e-05,6.741809507673238e-07,7.547722275720557e-07,6.766629529693389e-08,1.729951685364693e-07,-2.4528974215654634e-08,-2.253922704915713e-07
2324,19:45:55,32.70297,-117.234631,19:45:56.46,102.48809523809757,32.702850167,-117.233905167,-0.00012673300000187737,0.0007258329999899615,1051.0,445.27,47.34,18.18,1075.0,463.0,-1.3750000000810437e-06,-1.2083249998794452e-05,6.346666664213177e-07,7.7291666660987e-07,9.402679080366508e-09,-5.306878484903245e-07,9.975787282875204e-09,-1.9094670876200674e-07
2372,19:45:55,32.70297,-117.234631,19:45:58.46,104.4880952380978,32.702847,-117.233931,-0.00012990000000456803,0.0006999999999948159,1051.0,445.99,53.58,18.66,1078.0,465.0,-5.835000003172498e-07,-1.1125000000332836e-05,7.117916670887997e-07,-1.367979166389546e-06,1.07569444428447e-07,-5.907916665115863e-07,-1.5341189719424495e-09,5.612856772105313e-07
2426,19:46:00,32.70297,-117.234631,19:46:00.47,106.48809523809786,32.702847833,-117.233949667,-0.00012906700000314686,0.0006813329999886264,1051.0,446.8,60.6,19.2,1081.0,466.0,1.4721666682742496e-06,-1.7555166664352394e-05,1.0649444441351128e-06,-1.5902499994368067e-06,3.266203192613538e-09,1.7144548603517584e-06,-1.117753663095202e-07,4.601993351044636e-07
2456,19:46:00,32.70297,-117.234631,19:46:01.46,107.4880952380978,32.702849833,-117.233971333,-0.00012706700000109095,0.0006596669999936466,1051.0,447.25,64.5,19.5,1083.0,467.0,2.5556666673289955e-06,-1.8332999997502786e-05,9.815555546624695e-07,1.0369999993524172e-06,-1.3832103596269856e-07,1.8284422312926574e-06,-1.6499094596642273e-07,-3.697751820176337e-07
2504,19:46:00,32.70297,-117.234631,19:46:03.46,109.48809523809803,32.702857167,-117.233994667,-0.00011973300000533982,0.0006363329999885536,1051.0,447.97,70.74,19.98,1086.0,468.0,4.110999999084691e-06,-8.999666668784237e-06,4.851848967767761e-07,1.4986533919503766e-06,-5.619177551400185e-07,-8.461583445774011e-07,-1.49590333711033e-08,-1.4652569690654387e-07
2528,19:46:00,32.70297,-117.234631,19:46:04.46,110.48809523809814,32.7028615,-117.234002333,-0.00011540000000564987,0.000628666999986649,1045.0,448.61,73.903,20.0,1082.0,469.0,4.449944011311014e-06,-9.085019913038055e-06,-2.33599071461924e-07,1.1400252693464087e-07,-4.78457125402346e-07,-3.972967459697272e-07,3.466648240127474e-07,5.763397551159078e-07
2557,19:46:05,32.70297,-117.234631,19:46:05.46,111.47380952381242,32.702866,-117.234012667,-0.00011090000000280043,0.0006183329999913667,1037.2,449.42,77.729,20.0,1076.0,469.0,3.6633805140456455e-06,-8.778945416768177e-06,-4.717116871659991e-07,6.817269509638124e-07,1.1899313356195656e-07,2.9467152348857654e-07,3.9879996531039525e-07,4.385978714969578e-07
